chapter,volume,file_index,filename,p_numbers
1,1,3,Frieren - Beyond Journey's End - c001 (v01) - p003 [VIZ Media] [Digital] [1r0n].png,3-3
1,1,4,Frieren - Beyond Journey's End - c001 (v01) - p004-p005 [VIZ Media] [Digital] [1r0n].png,4-5
1,1,5,Frieren - Beyond Journey's End - c001 (v01) - p006 [VIZ Media] [Digital] [1r0n].png,6-6
1,1,6,Frieren - Beyond Journey's End - c001 (v01) - p007 [VIZ Media] [Digital] [1r0n].png,7-7
1,1,7,Frieren - Beyond Journey's End - c001 (v01) - p008 [VIZ Media] [Digital] [1r0n].png,8-8
1,1,8,Frieren - Beyond Journey's End - c001 (v01) - p009 [VIZ Media] [Digital] [1r0n].png,9-9
1,1,9,Frieren - Beyond Journey's End - c001 (v01) - p010 [VIZ Media] [Digital] [1r0n].png,10-10
1,1,10,Frieren - Beyond Journey's End - c001 (v01) - p011 [VIZ Media] [Digital] [1r0n].png,11-11
1,1,11,Frieren - Beyond Journey's End - c001 (v01) - p012 [VIZ Media] [Digital] [1r0n].png,12-12
1,1,12,Frieren - Beyond Journey's End - c001 (v01) - p013 [VIZ Media] [Digital] [1r0n].png,13-13
1,1,13,Frieren - Beyond Journey's End - c001 (v01) - p014 [VIZ Media] [Digital] [1r0n].png,14-14
1,1,14,Frieren - Beyond Journey's End - c001 (v01) - p015 [VIZ Media] [Digital] [1r0n].png,15-15
1,1,15,Frieren - Beyond Journey's End - c001 (v01) - p016 [VIZ Media] [Digital] [1r0n].png,16-16
1,1,16,Frieren - Beyond Journey's End - c001 (v01) - p017 [VIZ Media] [Digital] [1r0n].png,17-17
1,1,17,Frieren - Beyond Journey's End - c001 (v01) - p018 [VIZ Media] [Digital] [1r0n].png,18-18
1,1,18,Frieren - Beyond Journey's End - c001 (v01) - p019 [VIZ Media] [Digital] [1r0n].png,19-19
1,1,19,Frieren - Beyond Journey's End - c001 (v01) - p020 [VIZ Media] [Digital] [1r0n].png,20-20
1,1,20,Frieren - Beyond Journey's End - c001 (v01) - p021 [VIZ Media] [Digital] [1r0n].png,21-21
1,1,21,Frieren - Beyond Journey's End - c001 (v01) - p022 [VIZ Media] [Digital] [1r0n].png,22-22
1,1,22,Frieren - Beyond Journey's End - c001 (v01) - p023 [VIZ Media] [Digital] [1r0n].png,23-23
1,1,23,Frieren - Beyond Journey's End - c001 (v01) - p024 [VIZ Media] [Digital] [1r0n].png,24-24
1,1,24,Frieren - Beyond Journey's End - c001 (v01) - p025 [VIZ Media] [Digital] [1r0n].png,25-25
