chapter,position,name,type,link
1,1,Himmel,Debut,
1,2,Frieren,Debut,
1,3,Eisen,Debut,
1,4,Heiter,Debut,
1,5,Demon King,Mentioned,
1,6,The King,,List of Characters/Minor#Unnamed Characters
1,7,Magic store owner,,List of Characters/Minor#Beyond Journey's End Arc
1,8,Gossiping ladies,,List of Characters/Minor#Beyond Journey's End Arc
2,1,Frieren,,
2,2,Fern,Debut,
2,3,Heiter,,
2,4,Goddess of Creation,Mentioned,
2,5,Ewig the Sage,Mentioned,
2,6,Fern's parents,Pictured,List of Characters/Minor#Unnamed Characters
2,7,Himmel,Flashback,
2,8,Eisen,Flashback,
3,1,Fern,,
3,2,Frieren,,
3,3,Turk Region farmer,,List of Characters/Minor#Unnamed Characters
3,4,Herbalist,,List of Characters/Minor#Unnamed Characters
3,5,Himmel,Flashback,
3,6,Heiter,Flashback,
3,7,Eisen,Flashback,
4,1,Frieren,,
4,2,Fern,,
4,3,Rough adventurers,,List of Characters/Minor#Unnamed Characters
4,4,Himmel,Flashback,
4,5,Eisen,Flashback,
4,6,Heiter,Flashback,
5,1,Frieren,,
5,2,Fern,,
5,3,Straw hat villager,,List of Characters/Minor#Beyond Journey's End Arc
5,4,Qual,Debut,
5,5,Himmel,Flashback,
5,6,Eisen,Flashback,
5,7,Heiter,Flashback,
6,1,Frieren,,
6,2,Fern,,
6,3,Granz Channel village chief,,List of Characters/Minor#Beyond Journey's End Arc
6,4,Bakery owner,,List of Characters/Minor#Beyond Journey's End Arc
6,5,Himmel,Flashback,
6,6,Eisen,Flashback,
6,7,Heiter,Flashback,
7,1,Heiter,Flashback,
7,2,Himmel,Flashback,
7,3,Eisen,,
7,4,Frieren,,
7,5,Fern,,
7,6,Flamme,Flashback Debut,
8,1,Eisen,,
8,2,Frieren,,
8,3,Fern,,
8,4,Heiter,Flashback,
8,5,Himmel,Flashback,
9,1,Frieren,,
9,2,Fern,,
9,3,Marketeer lady,Debut,List of Characters/Minor#Beyond Journey's End Arc
9,4,Heiter,Flashback,
9,5,Himmel,Phantom,
10,1,Frieren,,
10,2,Fern,,
10,3,Eisen,Flashback,
10,4,Granny and kids,Debut,List of Characters/Minor#Beyond Journey's End Arc
10,5,Stark,Debut,
10,6,Himmel,Flashback,
10,7,Heiter,Flashback,
10,8,Husband and wife,Debut,List of Characters/Minor#Beyond Journey's End Arc
11,1,Fern,,
11,2,Stark,,
11,3,Eisen,Flashback,
11,4,Frieren,,
11,5,Heiter,Flashback,
11,6,Himmel,Flashback,
11,7,Hero of the South,Mentioned,
11,8,Granny and kids,Appears,List of Characters/Minor#Beyond Journey's End Arc
11,9,Husband and wife,Appears,List of Characters/Minor#Beyond Journey's End Arc
12,1,Frieren,,
12,2,Fern,,
12,3,Stark,,
12,4,Captain of the Guard,Debut,List of Characters/Minor#Beyond Journey's End Arc
12,5,Passersby,Debut,List of Characters/Minor#Beyond Journey's End Arc
12,6,Bartender,Debut,List of Characters/Minor#Beyond Journey's End Arc
12,7,Eisen,Flashback,
12,8,Castellan of Waal,Debut,List of Characters/Minor#Beyond Journey's End Arc
12,9,Himmel,Flashback,
12,10,Heiter,Flashback,
13,1,Heiter,Flashback,
13,2,Himmel,Flashback,
13,3,Eisen,Flashback,
13,4,Flamme,Mentioned,
13,5,Frieren,,
13,6,Fern,,
13,7,Stark,,
13,8,Merchant,Debut,List of Characters/Minor#Beyond Journey's End Arc
14,1,Frieren,,
14,2,Fern,,
14,3,Stark,,
14,4,Graf Granat,Debut,
14,5,Lügner,Debut,
14,6,Linie,Cameo,
14,7,Draht,Cameo,
14,8,Jail cell guard,Debut,List of Characters/Minor#Aura the Guillotine Arc
14,9,Demon King,Mentioned,
14,10,Aura,Imagined Debut,
14,11,Himmel,Flashback,
14,12,Heiter,Flashback,
14,13,Eisen,Flashback,
14,14,Young demon girl,Flashback Debut,List of Characters/Minor#Aura the Guillotine Arc
14,15,Bereaved couple,Flashback Debut,List of Characters/Minor#Aura the Guillotine Arc
14,16,Slain village chief,Flashback Debut,List of Characters/Minor#Aura the Guillotine Arc
14,17,Flamme,Mentioned,
15,1,Graf Granat,,
15,2,Lügner,,
15,3,Linie,Debut,
15,4,Draht,Debut,
15,5,Graf Granat's son,Mentioned,List of Characters/Minor#Aura the Guillotine Arc
15,6,The King,Mentioned,List of Characters/Minor#Beyond Journey's End Arc
15,7,Aura,Imagined,
15,8,Jail cell guard,Debut,List of Characters/Minor#Aura the Guillotine Arc
15,9,Frieren,,
16,1,Frieren,,
16,2,Draht,Mentioned,
16,3,Jail cell guard,,List of Characters/Minor#Aura the Guillotine Arc
16,4,Fern,,
16,5,Stark,,
16,6,Eisen,Mentioned,
16,7,Lügner,,
16,8,Linie,,
16,9,Graf Granat,,
16,10,Aura,,
17,1,Fern,,
17,2,Stark,,
17,3,Lügner,,
17,4,Qual,Imagined,
17,5,Graf Granat,,
17,6,Linie,,
17,7,Flamme,Mentioned,
17,8,Graf Granat's son,Mentioned,List of Characters/Minor#Aura the Guillotine Arc
17,9,Frieren,,
17,10,Aura,,
18,1,Graf Granat,,
18,2,Stark,,
18,3,Fern,,
18,4,Church father,Debut,List of Characters/Minor#Aura the Guillotine Arc
18,5,Himmel,Flashback,
18,6,Eisen,Flashback,
18,7,Heiter,Flashback,
18,8,Frieren,,
18,9,Aura,,
18,10,Graf Granat's son,Imagined Debut,List of Characters/Minor#Aura the Guillotine Arc
19,1,Stark,,
19,2,Fern,,
19,3,Graf Granat,,
19,4,Church father,,List of Characters/Minor#Aura the Guillotine Arc
19,5,Linie,,
19,6,Lügner,,
19,7,Jail cell guard,Mentioned,List of Characters/Minor#Aura the Guillotine Arc
19,8,Aura,Mentioned,
19,9,Frieren,Flashback,
20,1,Lügner,,
20,2,Fern,,
20,3,Linie,,
20,4,Stark,,
20,5,Frieren,Mentioned,
20,6,Eisen,Flashback,
20,7,Heiter,Flashback,
21,1,Lügner,,
21,2,Fern,,
21,3,Flamme,Flashback,
21,4,Basalt,Flashback Debut,List of Characters/Minor#Named Characters
21,5,Three demons killed by Flamme,Flashback Debut,List of Characters/Minor#Aura the Guillotine Arc
21,6,Demon King,Mentioned,
21,7,Aura,,
21,8,Frieren,,
22,1,Aura,,
22,2,Frieren,,
22,3,Flamme,Flashback,
22,4,Himmel,Flashback,
22,5,Heiter,Flashback,
22,6,Eisen,Flashback,
22,7,Qual,Flashback,
22,8,Demon King,Flashback Debut,
23,1,Frieren,,
23,2,Fern,,
23,3,Stark,,
23,4,Graf Granat,,
23,5,Aura,Flashback,
23,6,Lügner,Mentioned,
23,7,Linie,Mentioned,
23,8,Graf Granat's son,,List of Characters/Minor#Aura the Guillotine Arc
23,9,Flamme,Mentioned,
23,10,Heiter,Mentioned,
23,11,Himmel,Flashback,
23,12,Eisen,Flashback,
23,13,The King,Mentioned,List of Characters/Minor#Beyond Journey's End Arc
23,14,Gardener,Debut,List of Characters/Minor#Beyond Journey's End Arc
23,15,Church father,,List of Characters/Minor#Aura the Guillotine Arc
24,1,Frieren,,
24,2,Fern,,
24,3,Stark,,
24,4,Kraft,Debut,
24,5,Goddess of Creation,Imagined Debut,
24,6,Himmel,Flashback,
24,7,Eisen,Flashback,
24,8,Heiter,Flashback,
25,1,Himmel,Flashback,
25,2,Heiter,Flashback,
25,3,Eisen,Flashback,
